imageFile,maxPumps,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,welcome.started,welcome.stopped,resposta_.keys,resposta_.rt,resposta_.duration,bart_manual.started,bart_manual.stopped,instructions.started,instructions.stopped,mouse_1.x,mouse_1.y,mouse_1.leftButton,mouse_1.midButton,mouse_1.rightButton,mouse_1.time,mouse_1.clicked_name,instructions_2.started,instructions_2.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,trial_2.started,trial_2.stopped,bankButton.keys,bankButton.rt,bankButton.duration,nPumps,size,earnings,popped,feedback_2.started,feedback_2.stopped,subjResponse,final_score.started,final_score.stopped,farwell.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.013852357999894593,23.36292253700003,return,23.30975208300015,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MR20031946,001,2024-08-05_15h40.45.946,bart2,2023.2.3,59.96836644680939,2024-08-05 15h40.58.856379 +0100,
,,,,,,,,,,,,,23.36297093799999,24.386794307999935,24.386899106999863,137.30808354299984,[0.515625],[-0.815],[1],[0],[0],[112.78519070499988],['seta_avançar'],,,,,,,,,,,,,,,,,,,,,,,,,MR20031946,001,2024-08-05_15h40.45.946,bart2,2023.2.3,59.96836644680939,2024-08-05 15h40.58.856379 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,137.30827961499995,193.6829604699999,[0.525],[-0.7925],[1],[0],[0],[56.36292963100004],['seta_avançar_2'],,,,,,,,,,,,,,,,MR20031946,001,2024-08-05_15h40.45.946,bart2,2023.2.3,59.96836644680939,2024-08-05 15h40.58.856379 +0100,
blueBalloon.jpg,17,0,0,0,16,193.874921244,,,,,,,,,,,,,,,,,,,,,,,,,,,193.71335117600006,223.44849310799987,return,29.571664022000277,None,17,0.355,8.5,False,223.45020394200014,225.4717628850001,17,,,,MR20031946,001,2024-08-05_15h40.45.946,bart2,2023.2.3,59.96836644680939,2024-08-05 15h40.58.856379 +0100,
blueBalloon.jpg,55,0,1,1,54,225.61933722499975,,,,,,,,,,,,,,,,,,,,,,,,,,,225.47247767500016,244.24398941699997,return,18.622605362000286,None,20,0.4,10.0,False,244.24539984599983,246.26289509899993,20,,,,MR20031946,001,2024-08-05_15h40.45.946,bart2,2023.2.3,59.96836644680939,2024-08-05 15h40.58.856379 +0100,
blueBalloon.jpg,54,0,2,2,53,246.38621519899993,,,,,,,,,,,,,,,,,,,,,,,,,,,246.2633466939999,264.83528454300017,return,18.447529005999968,None,20,0.4,10.0,False,264.83598263,266.85665176299995,20,,,,MR20031946,001,2024-08-05_15h40.45.946,bart2,2023.2.3,59.96836644680939,2024-08-05 15h40.58.856379 +0100,
blueBalloon.jpg,96,0,3,3,95,266.9684770440001,,,,,,,,,,,,,,,,,,,,,,,,,,,266.8572114000001,288.28092979100006,return,21.31132558599984,None,32,0.58,16.0,False,288.28172005400006,290.2937968660001,32,,,,MR20031946,001,2024-08-05_15h40.45.946,bart2,2023.2.3,59.96836644680939,2024-08-05 15h40.58.856379 +0100,
blueBalloon.jpg,65,0,4,4,64,290.45159286600006,,,,,,,,,,,,,,,,,,,,,,,,,,,290.29449743300006,312.04923457100017,return,21.59581396800013,None,34,0.61,17.0,False,312.0500635709998,314.0691803789998,34,,,,MR20031946,001,2024-08-05_15h40.45.946,bart2,2023.2.3,59.96836644680939,2024-08-05 15h40.58.856379 +0100,
blueBalloon.jpg,5,0,5,5,4,314.1796645709999,,,,,,,,,,,,,,,,,,,,,,,,,,,314.071096419,318.015333178,None,,,6,0.19,0.0,True,318.01657988600005,320.02309532000004,6,,,,MR20031946,001,2024-08-05_15h40.45.946,bart2,2023.2.3,59.96836644680939,2024-08-05 15h40.58.856379 +0100,
blueBalloon.jpg,63,0,6,6,62,320.15460530199994,,,,,,,,,,,,,,,,,,,,,,,,,,,320.02383696799984,348.5349132529998,return,28.37722583599998,None,26,0.49,13.0,False,348.53599968899994,350.554323911,26,,,,MR20031946,001,2024-08-05_15h40.45.946,bart2,2023.2.3,59.96836644680939,2024-08-05 15h40.58.856379 +0100,
