key_disp,resp_disp,key_inp,trialOrderFile,str_name,str_valence,str_block,key_correct,loop_checkKeyMap.thisRepN,loop_checkKeyMap.thisTrialN,loop_checkKeyMap.thisN,loop_checkKeyMap.thisIndex,loop_block.thisRepN,loop_block.thisTrialN,loop_block.thisN,loop_block.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,time_expBegin,txt_checkFiles_start.started,txt_checkFiles_start.stopped,txt_checkFiles_end.started,txt_checkFiles_end.stopped,key_checkFilesCompleteAccept.keys,key_checkFilesCompleteAccept.rt,key_checkFilesCompleteAccept.started,key_checkFilesCompleteAccept.stopped,txt_resFileClashWarn.started,txt_resFileClashWarn.stopped,key_resp_resClash.keys,key_resp_resClash.started,key_resp_resClash.stopped,str_keyInst.started,str_keyInst.stopped,key_startTask.keys,key_startTask.rt,key_startTask.started,key_startTask.stopped,txt_checkKeyMap.started,txt_checkKeyMap.stopped,key_resp_checkKeyMap.keys,key_resp_checkKeyMap.rt,key_resp_checkKeyMap.started,key_resp_checkKeyMap.stopped,text_checkKeyMapComplete.started,text_checkKeyMapComplete.stopped,key_beginTrials.keys,key_beginTrials.rt,key_beginTrials.started,key_beginTrials.stopped,text_getReady.started,text_getReady.stopped,str_fixationcross.started,str_fixationcross.stopped,im_trialWords.started,im_trialWords.stopped,time_trialBegin,key_respTrial.keys,key_respTrial.corr,key_respTrial.rt,key_respTrial.started,key_respTrial.stopped,time_trialEnd,str_rest.started,str_rest.stopped,key_endRest.keys,key_endRest.rt,key_endRest.started,key_endRest.stopped,time_restBegin,time_restEnd,Study Code,Participant ID,Researcher Name,Task Version Number,Research Visit Number,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,9.800001862458885e-06,17.365984399999434,None,19.35031429999799,None,space,3.4214542000045185,19.35031429999799,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,1,1,1,2024_Aug_03_1111,ECAT_140222,2021.2.3,59.90341173742319,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,1,1,1,2024_Aug_03_1111,ECAT_140222,2021.2.3,59.90341173742319,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.832043199996406,None,space,16.876436500002455,22.832043199996406,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,1,1,1,2024_Aug_03_1111,ECAT_140222,2021.2.3,59.90341173742319,
Q,GOSTAVA,q,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.747886400000425,None,q,1.965821900004812,39.747886400000425,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,1,1,1,2024_Aug_03_1111,ECAT_140222,2021.2.3,59.90341173742319,
O,NÃO GOSTAVA,o,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.73910649999743,None,o,1.933605300000636,41.73910649999743,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,1,1,1,2024_Aug_03_1111,ECAT_140222,2021.2.3,59.90341173742319,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.70297049999499,None,space,3.9218223999996553,43.70297049999499,None,,,,,,,,,,,,,,,,,,,,,,11,1,1,1,1,2024_Aug_03_1111,ECAT_140222,2021.2.3,59.90341173742319,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Indelicado,negative,1,o,,,,,0,0,0,0,0,0,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.657545399997616,None,49.67568119999487,50.186357799997495,50.17488410000078,50.686445899998944,32.34140120000666,q,0,1.023766300000716,50.17488410000078,None,36.32514030000311,,,,,,,,,11,1,1,1,1,2024_Aug_03_1111,ECAT_140222,2021.2.3,59.90341173742319,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Pessimista,negative,1,o,,,,,0,0,0,0,0,1,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.66970020000008,54.16944869999861,54.15285310000036,54.65299329999834,36.325745000001916,o,1,0.5115114000000176,54.15285310000036,None,40.30994610000198,,,,,,,,,11,1,1,1,1,2024_Aug_03_1111,ECAT_140222,2021.2.3,59.90341173742319,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Rude,negative,1,o,,,,,0,0,0,0,0,2,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.65317040000082,58.153138699999545,58.13634349999484,58.636540599996806,40.310472000004665,o,1,0.5577625000005355,58.13634349999484,57.65317040000082,44.29155730000639,,,,,,,,,11,1,1,1,1,2024_Aug_03_1111,ECAT_140222,2021.2.3,59.90341173742319,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Desonesto,negative,1,o,,,,,0,0,0,0,0,3,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.635603199996694,62.136458299995866,62.11934420000034,62.6193695999973,44.291863600003126,o,1,0.478555999994569,62.11934420000034,61.635603199996694,48.27638180000213,,,,,,,,,11,1,1,1,1,2024_Aug_03_1111,ECAT_140222,2021.2.3,59.90341173742319,
