key_disp,resp_disp,key_inp,trialOrderFile,str_name,str_familiarity,str_valence,str_block,key_correct,loop_checkKeyMap.thisRepN,loop_checkKeyMap.thisTrialN,loop_checkKeyMap.thisN,loop_checkKeyMap.thisIndex,loop_block.thisRepN,loop_block.thisTrialN,loop_block.thisN,loop_block.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,time_expBegin,txt_checkFiles_start.started,txt_checkFiles_start.stopped,txt_checkFiles_end.started,txt_checkFiles_end.stopped,key_checkFilesCompleteAccept.keys,key_checkFilesCompleteAccept.rt,key_checkFilesCompleteAccept.started,key_checkFilesCompleteAccept.stopped,txt_resFileClashWarn.started,txt_resFileClashWarn.stopped,key_resp_resClash.keys,key_resp_resClash.started,key_resp_resClash.stopped,str_keyInst.started,str_keyInst.stopped,key_startTask.keys,key_startTask.rt,key_startTask.started,key_startTask.stopped,txt_checkKeyMap.started,txt_checkKeyMap.stopped,key_resp_checkKeyMap.keys,key_resp_checkKeyMap.rt,key_resp_checkKeyMap.started,key_resp_checkKeyMap.stopped,text_checkKeyMapComplete.started,text_checkKeyMapComplete.stopped,key_beginTrials.keys,key_beginTrials.rt,key_beginTrials.started,key_beginTrials.stopped,text_getReady.started,text_getReady.stopped,str_fixationcross.started,str_fixationcross.stopped,im_trialWords.started,im_trialWords.stopped,time_trialBegin,key_respTrial.keys,key_respTrial.corr,key_respTrial.rt,key_respTrial.started,key_respTrial.stopped,time_trialEnd,Study Code,Participant ID,Researcher Name,Research Visit Number,Task Version Number,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,7.0999376475811005e-06,9.39002559997607,None,11.36812750005629,None,space,0.7280061000492424,11.36812750005629,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_02_1927,EMEM_140222,2021.2.3,60.0284775029457,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_02_1927,EMEM_140222,2021.2.3,60.0284775029457,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.166075499961153,None,space,8.644213699968532,12.166075499961153,None,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_02_1927,EMEM_140222,2021.2.3,60.0284775029457,
1,SIM,1,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.853230600012466,None,1,1.8711101000662893,20.853230600012466,None,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_02_1927,EMEM_140222,2021.2.3,60.0284775029457,
0,NÃO,0,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.743184600025415,None,0,1.071912799961865,22.743184600025415,None,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_02_1927,EMEM_140222,2021.2.3,60.0284775029457,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.84150470001623,None,space,3.5206530999857932,23.84150470001623,None,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_02_1927,EMEM_140222,2021.2.3,60.0284775029457,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Mente fechada,Familiar,negative,1,1,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.3930709999986,None,29.42240080004558,29.92487109999638,29.92487109999638,30.425013600033708,20.064095599926077,1,1,0.9153695000568405,29.92487109999638,None,24.041983300005086,1,1,1,1,1,2024_Aug_02_1927,EMEM_140222,2021.2.3,60.0284775029457,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Dedicado,Novel,positive,1,0,,,,,0,0,0,0,0,1,1,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.4085541999666,33.908391000004485,33.89152299996931,34.39167120005004,24.04257049993612,None,0,,33.89152299996931,None,28.024258699966595,1,1,1,1,1,2024_Aug_02_1927,EMEM_140222,2021.2.3,60.0284775029457,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Detestável,Novel,negative,1,0,,,,,0,0,0,0,0,2,2,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.391943800030276,37.89139520004392,37.87451540003531,38.37483500002418,28.024855899973772,0,1,0.8051320998929441,37.87451540003531,37.391943800030276,32.00808189995587,1,1,1,1,1,2024_Aug_02_1927,EMEM_140222,2021.2.3,60.0284775029457,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Pessimista,Familiar,negative,1,1,,,,,0,0,0,0,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.3748713999521,41.874624800053425,41.85803220001981,42.35825649998151,32.00878459995147,1,1,0.70043089997489,41.85803220001981,41.3748713999521,35.99242249992676,1,1,1,1,1,2024_Aug_02_1927,EMEM_140222,2021.2.3,60.0284775029457,
