key_disp,resp_disp,key_inp,trialOrderFile,im_stimNo,im_face_name_top,im_face_name_bottom,im_face_path,im_face_mask_path,im_dot_path,im_emo_top,im_emo_bottom,im_dot_direc,im_dot_loc,key_correct,loop_checkKeyMap.thisRepN,loop_checkKeyMap.thisTrialN,loop_checkKeyMap.thisN,loop_checkKeyMap.thisIndex,loop_block.thisRepN,loop_block.thisTrialN,loop_block.thisN,loop_block.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,time_expBegin,txt_checkFiles_start.started,txt_checkFiles_start.stopped,txt_checkFiles_end.started,txt_checkFiles_end.stopped,key_checkFilesCompleteAccept.keys,key_checkFilesCompleteAccept.rt,key_checkFilesCompleteAccept.started,key_checkFilesCompleteAccept.stopped,txt_resFileClashWarn.started,txt_resFileClashWarn.stopped,key_resp_resClash.keys,key_resp_resClash.started,key_resp_resClash.stopped,str_keyInst_pract.started,str_keyInst_pract.stopped,key_startTask_pract.keys,key_startTask_pract.rt,key_startTask_pract.started,key_startTask_pract.stopped,txt_checkKeyMap.started,txt_checkKeyMap.stopped,key_resp_checkKeyMap.keys,key_resp_checkKeyMap.rt,key_resp_checkKeyMap.started,key_resp_checkKeyMap.stopped,text_checkKeyMapComplete.started,text_checkKeyMapComplete.stopped,key_beginTrials.keys,key_beginTrials.rt,key_beginTrials.started,key_beginTrials.stopped,text_getReady.started,text_getReady.stopped,time_trialBegin,txt_fix.started,txt_fix.stopped,im_trialFace.started,im_trialFace.stopped,im_trialFace_mask.started,im_trialFace_mask.stopped,Im_dot.started,Im_dot.stopped,key_respTrial.keys,key_respTrial.corr,key_respTrial.rt,key_respTrial.started,key_respTrial.stopped,time_trialEnd,Study Code,Participant ID,Researcher Name,Research Visit Number,Task Version Number,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,9.400006092619151e-06,14.314862899998843,None,16.31048450000526,None,space,16.44537919999857,16.31048450000526,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1033,FDOT_140222,2021.2.3,60.067924809117976,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1033,FDOT_140222,2021.2.3,60.067924809117976,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.85424100000091,None,space,188.74222150000423,32.85424100000091,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1033,FDOT_140222,2021.2.3,60.067924809117976,
A,..,a,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.63521649999893,None,a,6.015877900004853,221.63521649999893,None,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1033,FDOT_140222,2021.2.3,60.067924809117976,
K,:,k,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.67029360000015,None,k,3.995754299998225,227.67029360000015,None,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1033,FDOT_140222,2021.2.3,60.067924809117976,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.6827067999984,None,space,42.49918489999982,231.6827067999984,None,,,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1033,FDOT_140222,2021.2.3,60.067924809117976,
,,,stimControl/trialOrder_ver-1_block-pract.xlsx,1,hapHF,neutHF,ImagesToUse/HN6.bmp,ImagesToUse/HN6.bmp,ImagesToUse/UPB.bmp,happy,neutral,vert,bottom,k,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.21345790000487,None,262.94391780000296,276.2522992000013,277.2821336000052,277.2741510000051,277.2821336000052,277.2821336000052,277.3659676000025,277.34960449999926,None,k,1,2.110140099997807,277.34960449999926,None,265.19303420000506,1,1,1,1,1,2024_Aug_03_1033,FDOT_140222,2021.2.3,60.067924809117976,
,,,stimControl/trialOrder_ver-1_block-pract.xlsx,2,neutLK,hapLK,ImagesToUse/NH8.bmp,ImagesToUse/NH8.bmp,ImagesToUse/DOWNT.bmp,neutral,happy,horz,top,a,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.1937812000033,279.50161740000476,280.51596209999843,280.49952280000434,280.51596209999843,280.51596209999843,280.59950290000415,280.59950290000415,None,k,0,0.9395436000049813,280.59950290000415,None,267.27664260000165,1,1,1,1,1,2024_Aug_03_1033,FDOT_140222,2021.2.3,60.067924809117976,
,,,stimControl/trialOrder_ver-1_block-pract.xlsx,3,fearAM,neutAM,ImagesToUse/FN7.bmp,ImagesToUse/jumbledmask1.bmp,ImagesToUse/DOWNT.bmp,fear,neutral,horz,top,a,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.27775870000187,281.5854623999985,282.5993656999999,282.58238630000415,282.5993656999999,282.5993656999999,282.6992318000048,282.6827171000041,None,a,1,0.8157282999964082,282.6827171000041,None,269.22558940000454,1,1,1,1,1,2024_Aug_03_1033,FDOT_140222,2021.2.3,60.067924809117976,
,,,stimControl/trialOrder_ver-1_block-pract.xlsx,4,neutLK,neutLK,ImagesToUse/NN8.bmp,ImagesToUse/jumbledmask1.bmp,ImagesToUse/DOWNB.bmp,neutral,neutral,horz,bottom,a,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.22644960000616,283.5336757000041,284.5493606000018,284.53249560000404,284.5493606000018,284.5493606000018,284.649222,284.6326993000039,None,a,1,0.963942299997143,284.6326993000039,None,271.32547239999985,1,1,1,1,1,2024_Aug_03_1033,FDOT_140222,2021.2.3,60.067924809117976,
