key_disp,resp_disp,key_inp,trialOrderFile,im_stimNo,im_face_name_top,im_face_name_bottom,im_face_path,im_face_mask_path,im_dot_path,im_emo_top,im_emo_bottom,im_dot_direc,im_dot_loc,key_correct,loop_checkKeyMap.thisRepN,loop_checkKeyMap.thisTrialN,loop_checkKeyMap.thisN,loop_checkKeyMap.thisIndex,loop_block.thisRepN,loop_block.thisTrialN,loop_block.thisN,loop_block.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,time_expBegin,txt_checkFiles_start.started,txt_checkFiles_start.stopped,txt_checkFiles_end.started,txt_checkFiles_end.stopped,key_checkFilesCompleteAccept.keys,key_checkFilesCompleteAccept.rt,key_checkFilesCompleteAccept.started,key_checkFilesCompleteAccept.stopped,txt_resFileClashWarn.started,txt_resFileClashWarn.stopped,key_resp_resClash.keys,key_resp_resClash.started,key_resp_resClash.stopped,str_keyInst_pract.started,str_keyInst_pract.stopped,key_startTask_pract.keys,key_startTask_pract.rt,key_startTask_pract.started,key_startTask_pract.stopped,txt_checkKeyMap.started,txt_checkKeyMap.stopped,key_resp_checkKeyMap.keys,key_resp_checkKeyMap.rt,key_resp_checkKeyMap.started,key_resp_checkKeyMap.stopped,text_checkKeyMapComplete.started,text_checkKeyMapComplete.stopped,key_beginTrials.keys,key_beginTrials.rt,key_beginTrials.started,key_beginTrials.stopped,text_getReady.started,text_getReady.stopped,time_trialBegin,txt_fix.started,txt_fix.stopped,im_trialFace.started,im_trialFace.stopped,im_trialFace_mask.started,im_trialFace_mask.stopped,Im_dot.started,Im_dot.stopped,key_respTrial.keys,key_respTrial.corr,key_respTrial.rt,key_respTrial.started,key_respTrial.stopped,time_trialEnd,str_rest.started,str_rest.stopped,key_endRest.keys,key_endRest.rt,key_endRest.started,key_endRest.stopped,time_restBegin,time_restEnd,Study Code,Participant ID,Researcher Name,Research Visit Number,Task Version Number,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,9.499999578110874e-06,11.770911999999953,None,13.752842699999746,None,space,0.5501397999978508,13.752842699999746,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1114,FDOT_140222,2021.2.3,59.919276752154595,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1114,FDOT_140222,2021.2.3,59.919276752154595,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.391953199999989,None,space,40.50996110000415,14.391953199999989,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1114,FDOT_140222,2021.2.3,59.919276752154595,
A,..,a,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.92773980000493,None,a,5.596555199997965,54.92773980000493,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1114,FDOT_140222,2021.2.3,59.919276752154595,
K,:,k,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.5594173999998,None,k,7.970096900004137,60.5594173999998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1114,FDOT_140222,2021.2.3,59.919276752154595,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.55280270000367,None,space,1.0902873000013642,68.55280270000367,None,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_03_1114,FDOT_140222,2021.2.3,59.919276752154595,
,,,stimControl/trialOrder_ver-1_block-pract.xlsx,1,hapHF,neutHF,ImagesToUse/HN6.bmp,ImagesToUse/HN6.bmp,ImagesToUse/UPB.bmp,happy,neutral,vert,bottom,k,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.67328010000347,None,60.95525120000093,71.7005100000024,72.71071179999853,72.71071179999853,72.71963390000019,72.71963390000019,72.80334189999849,72.80334189999849,None,k,1,1.2441707999969367,72.80334189999849,None,62.32901159999892,,,,,,,,,1,1,1,1,1,2024_Aug_03_1114,FDOT_140222,2021.2.3,59.919276752154595,
,,,stimControl/trialOrder_ver-1_block-pract.xlsx,2,neutLK,hapLK,ImagesToUse/NH8.bmp,ImagesToUse/NH8.bmp,ImagesToUse/DOWNT.bmp,neutral,happy,horz,top,a,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.32976670000062,74.0757236999998,75.0867281000028,75.06975550000061,75.0867281000028,75.0867281000028,75.16996240000299,75.16996240000299,None,a,1,1.303581000000122,75.16996240000299,None,64.76132920000236,,,,,,,,,1,1,1,1,1,2024_Aug_03_1114,FDOT_140222,2021.2.3,59.919276752154595,
,,,stimControl/trialOrder_ver-1_block-pract.xlsx,3,fearAM,neutAM,ImagesToUse/FN7.bmp,ImagesToUse/jumbledmask1.bmp,ImagesToUse/DOWNT.bmp,fear,neutral,horz,top,a,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.7621255999984,76.50866930000484,77.51948370000173,77.50354940000398,77.51948370000173,77.50354940000398,77.60308030000306,77.58680860000459,None,k,0,0.6986117999986163,77.58680860000459,None,66.56108189999941,,,,,,,,,1,1,1,1,1,2024_Aug_03_1114,FDOT_140222,2021.2.3,59.919276752154595,
,,,stimControl/trialOrder_ver-1_block-pract.xlsx,4,neutLK,neutLK,ImagesToUse/NN8.bmp,ImagesToUse/jumbledmask1.bmp,ImagesToUse/DOWNB.bmp,neutral,neutral,horz,bottom,a,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.56173539999872,78.30615989999933,79.31969709999976,79.30321720000211,79.31969709999976,79.31969709999976,79.40314360000048,79.40314360000048,None,a,1,0.6682333999997354,79.40314360000048,None,68.34551040000224,,,,,,,,,1,1,1,1,1,2024_Aug_03_1114,FDOT_140222,2021.2.3,59.919276752154595,
