key_disp,resp_disp,key_inp,trialOrderFile,im_stimNo,im_face_name_top,im_face_name_bottom,im_face_path,im_face_mask_path,im_dot_path,im_emo_top,im_emo_bottom,im_dot_direc,im_dot_loc,key_correct,loop_checkKeyMap.thisRepN,loop_checkKeyMap.thisTrialN,loop_checkKeyMap.thisN,loop_checkKeyMap.thisIndex,loop_block.thisRepN,loop_block.thisTrialN,loop_block.thisN,loop_block.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,time_expBegin,txt_checkFiles_start.started,txt_checkFiles_start.stopped,txt_checkFiles_end.started,txt_checkFiles_end.stopped,key_checkFilesCompleteAccept.keys,key_checkFilesCompleteAccept.rt,key_checkFilesCompleteAccept.started,key_checkFilesCompleteAccept.stopped,txt_resFileClashWarn.started,txt_resFileClashWarn.stopped,key_resp_resClash.keys,key_resp_resClash.started,key_resp_resClash.stopped,str_keyInst_pract.started,str_keyInst_pract.stopped,key_startTask_pract.keys,key_startTask_pract.rt,key_startTask_pract.started,key_startTask_pract.stopped,txt_checkKeyMap.started,txt_checkKeyMap.stopped,key_resp_checkKeyMap.keys,key_resp_checkKeyMap.rt,key_resp_checkKeyMap.started,key_resp_checkKeyMap.stopped,text_checkKeyMapComplete.started,text_checkKeyMapComplete.stopped,key_beginTrials.keys,key_beginTrials.rt,key_beginTrials.started,key_beginTrials.stopped,text_getReady.started,text_getReady.stopped,time_trialBegin,txt_fix.started,txt_fix.stopped,im_trialFace.started,im_trialFace.stopped,im_trialFace_mask.started,im_trialFace_mask.stopped,Im_dot.started,Im_dot.stopped,key_respTrial.keys,key_respTrial.corr,key_respTrial.rt,key_respTrial.started,key_respTrial.stopped,time_trialEnd,str_rest.started,str_rest.stopped,key_endRest.keys,key_endRest.rt,key_endRest.started,key_endRest.stopped,time_restBegin,time_restEnd,Study Code,Participant ID,Researcher Name,Research Visit Number,Task Version Number,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,9.09995287656784e-06,16.716121700010262,None,18.708172100014053,None,space,0.9753782999468967,18.708172100014053,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,999,marlene,1,1,2024_Jul_31_1710,FDOT_140222,2021.2.3,60.024261767740086,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,999,marlene,1,1,2024_Jul_31_1710,FDOT_140222,2021.2.3,60.024261767740086,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.759912300040014,None,space,0.7369856999721378,19.759912300040014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,999,marlene,1,1,2024_Jul_31_1710,FDOT_140222,2021.2.3,60.024261767740086,
A,..,a,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.532161599956453,None,a,1.545756799983792,20.532161599956453,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,999,marlene,1,1,2024_Jul_31_1710,FDOT_140222,2021.2.3,60.024261767740086,
K,:,k,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.19415430002846,None,k,1.374416399979964,22.19415430002846,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,999,marlene,1,1,2024_Jul_31_1710,FDOT_140222,2021.2.3,60.024261767740086,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.58392480004113,None,space,1.6531369999283925,23.58392480004113,None,,,,,,,,,,,,,,,,,,,,,,,,,,111,999,marlene,1,1,2024_Jul_31_1710,FDOT_140222,2021.2.3,60.024261767740086,
,,,stimControl/trialOrder_ver-1_block-pract.xlsx,1,hapHF,neutHF,ImagesToUse/HN6.bmp,ImagesToUse/HN6.bmp,ImagesToUse/UPB.bmp,happy,neutral,vert,bottom,k,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.277321600005962,None,11.608957699965686,27.338446200010367,28.379575600032695,28.375085999956354,28.379575600032695,28.379575600032695,28.467074800049886,28.417385500040837,None,a,0,0.8930415000068024,28.417385500040837,None,12.64459329994861,,,,,,,,,111,999,marlene,1,1,2024_Jul_31_1710,FDOT_140222,2021.2.3,60.024261767740086,
,,,stimControl/trialOrder_ver-1_block-pract.xlsx,2,neutLK,hapLK,ImagesToUse/NH8.bmp,ImagesToUse/NH8.bmp,ImagesToUse/DOWNT.bmp,neutral,happy,horz,top,a,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.645530399982817,29.373955099959858,30.38389840000309,30.367370899999514,30.38389840000309,30.38389840000309,30.467367200064473,30.467367200064473,None,k,0,0.8988794999895617,30.467367200064473,None,14.692506399936974,,,,,,,,,111,999,marlene,1,1,2024_Jul_31_1710,FDOT_140222,2021.2.3,60.024261767740086,
,,,stimControl/trialOrder_ver-1_block-pract.xlsx,3,fearAM,neutAM,ImagesToUse/FN7.bmp,ImagesToUse/jumbledmask1.bmp,ImagesToUse/DOWNT.bmp,fear,neutral,horz,top,a,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.693668199935928,31.42152580001857,32.43361000006553,32.417214300017804,32.43361000006553,32.43361000006553,32.51749810006004,32.51749810006004,None,k,0,1.2357540000230074,32.51749810006004,None,17.092343299998902,,,,,,,,,111,999,marlene,1,1,2024_Jul_31_1710,FDOT_140222,2021.2.3,60.024261767740086,
,,,stimControl/trialOrder_ver-1_block-pract.xlsx,4,neutLK,neutLK,ImagesToUse/NN8.bmp,ImagesToUse/jumbledmask1.bmp,ImagesToUse/DOWNB.bmp,neutral,neutral,horz,bottom,a,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.093145599937998,33.8195816000225,34.83371549996082,34.81733069999609,34.83371549996082,34.83371549996082,34.91727530001663,34.91727530001663,None,k,0,0.8161945999599993,34.91727530001663,None,19.059625099995174,,,,,,,,,111,999,marlene,1,1,2024_Jul_31_1710,FDOT_140222,2021.2.3,60.024261767740086,
