key_disp,resp_disp,key_inp,trialOrderFile,im_name,Path,Path2,im_fName,im_model,im_emotion,im_percentEmo,im_block,im_rand,im_stimNo,key_correct,loop_checkKeyMap.thisRepN,loop_checkKeyMap.thisTrialN,loop_checkKeyMap.thisN,loop_checkKeyMap.thisIndex,loop_block.thisRepN,loop_block.thisTrialN,loop_block.thisN,loop_block.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,time_expBegin,txt_checkFiles_start.started,txt_checkFiles_start.stopped,txt_checkFiles_end.started,txt_checkFiles_end.stopped,key_checkFilesCompleteAccept.keys,key_checkFilesCompleteAccept.rt,key_checkFilesCompleteAccept.started,key_checkFilesCompleteAccept.stopped,txt_resFileClashWarn.started,txt_resFileClashWarn.stopped,key_resp_resClash.keys,key_resp_resClash.started,key_resp_resClash.stopped,str_keyInst.started,str_keyInst.stopped,key_startTask.keys,key_startTask.rt,key_startTask.started,key_startTask.stopped,txt_checkKeyMap.started,txt_checkKeyMap.stopped,key_resp_checkKeyMap.keys,key_resp_checkKeyMap.rt,key_resp_checkKeyMap.started,key_resp_checkKeyMap.stopped,text_checkKeyMapComplete.started,text_checkKeyMapComplete.stopped,key_beginTrials.keys,key_beginTrials.rt,key_beginTrials.started,key_beginTrials.stopped,text_getReady.started,text_getReady.stopped,im_trialFace.started,im_trialFace.stopped,time_trialBegin,key_respTrial.keys,key_respTrial.corr,key_respTrial.rt,key_respTrial.started,key_respTrial.stopped,time_trialEnd,str_rest.started,str_rest.stopped,key_endRest.keys,key_endRest.rt,key_endRest.started,key_endRest.stopped,time_restBegin,time_restEnd,Study Code,Participant ID,Researcher Name,Task Version Number,Research Visit Number,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,8.999952115118504e-06,19.10268409998389,None,21.14039449999109,None,space,3.060744699963834,21.14039449999109,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_06_1032,FERT_140222,2021.2.3,60.0375955420383,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_06_1032,FERT_140222,2021.2.3,60.0375955420383,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.255449699994642,None,space,25.32603299996117,24.255449699994642,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_06_1032,FERT_140222,2021.2.3,60.0375955420383,
Z,RAIVA,z,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.62343500001589,None,z,1.9864733000285923,49.62343500001589,None,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_06_1032,FERT_140222,2021.2.3,60.0375955420383,
X,NOJO,x,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.65497839997988,None,x,2.0203063000226393,51.65497839997988,None,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_06_1032,FERT_140222,2021.2.3,60.0375955420383,
C,MEDO,c,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.705906499992125,None,c,1.6152333000209183,53.705906499992125,None,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_06_1032,FERT_140222,2021.2.3,60.0375955420383,
V,FELICIDADE,v,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.35126249998575,None,v,1.8638233999954537,55.35126249998575,None,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_06_1032,FERT_140222,2021.2.3,60.0375955420383,
B,TRISTEZA,b,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.23692100000335,None,b,0.9462981999968179,57.23692100000335,None,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_06_1032,FERT_140222,2021.2.3,60.0375955420383,
N,SURPRESA,n,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.2017006999813,None,n,1.2102128000115044,58.2017006999813,None,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_06_1032,FERT_140222,2021.2.3,60.0375955420383,
M,NEUTRO,m,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.59103589999722,None,m,2.133622800000012,59.59103589999722,None,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2024_Aug_06_1032,FERT_140222,2021.2.3,60.0375955420383,
